Phylum,Class,Order,Family,Species,rotl_spp,Weapon,Citation,Study,Injured,Total,Proportion,Weapon_size,Body_size,Rel_size,Size,Allometry,Regenerate,Ram,Bias_large,Observation,Notes
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dynastes hercules,Dynastes hercules,Horn,McCullough et al 2015,25,2,74,2.7,54.17,88.88,0.609473447,large,3.45,N,,N,46,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Dynastes tityus,Dynastes tityus,Horn,McCullough et al 2015,25,3,181,1.7,17.96,50.4,0.356349206,large,1.23,N,,N,47,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Enema pan,Enema pan,Horn,McCullough et al 2015,25,1,100,1,43.72,60.4,0.72384106,large,0.9,N,,N,48,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa costaricensis,Golofa costaricensis,Horn,McCullough et al 2015,25,2,66,3,23.16,47.24,0.490262489,large,3.56,N,,N,49,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa eacus,Golofa eacus,Horn,McCullough et al 2015,25,5,63,7.9,38.4,51.9,0.739884393,large,3.07,N,,Y,50,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa imperialis,Golofa incas,Horn,McCullough et al 2015,25,0,25,0,17.7,41.37,0.427846265,large,2.55,N,,N,51,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa pelagon,Golofa pelagon,Horn,McCullough et al 2015,25,1,39,2.6,12.1,37.54,0.322322856,small,1.74,N,,N,52,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa pizarro,Golofa pizarro,Horn,McCullough et al 2015,25,1,74,1.4,23.51,47.4,0.495991561,large,3.38,N,,N,53,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Golofa tersander,Golofa tersander,Horn,McCullough et al 2015,25,2,29,6.9,18.9,37.86,0.499207607,large,4.67,N,,N,54,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Heterogomphus chevrolati,Heterogomphus chevrolati,Horn,McCullough et al 2015,25,0,98,0,17.27,53.75,0.321302326,small,2.5,N,,N,55,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Heterogomphus schoenherri,Heterogomphus schoenherri,Horn,McCullough et al 2015,25,3,76,3.9,20.39,48.74,0.418342224,large,1.72,N,,N,56,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Megasoma elephas,Megasoma elephas,Horn,McCullough et al 2015,25,3,38,7.9,47.03,92.4,0.508982684,large,1.45,N,,N,57,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Megasoma pachecoi,Megasoma pachecoi,Horn,McCullough et al 2015,25,0,147,0,18.13,39.55,0.45840708,large,2.71,N,,N,58,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Megasoma thersites,Megasoma thersites,Horn,McCullough et al 2015,25,0,41,0,12,40.21,0.298433226,small,0.95,N,,N,59,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes boas,Oryctes boas,Horn,McCullough et al 2015,25,1,51,2,19.88,42.54,0.467324871,large,3.79,N,,N,60,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes nasicornis,Oryctes nasicornis,Horn,McCullough et al 2015,25,1,64,1.6,14.2,38.55,0.368352789,large,3.33,N,,N,61,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes rhinoceros,Oryctes rhinoceros,Horn,McCullough et al 2015,25,1,75,1.3,13.05,45.71,0.285495515,small,2.41,N,,N,62,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Podischnus agenor,Trichogomphus bronchus,Horn,McCullough et al 2015,25,1,72,1.4,14.9,43.04,0.346189591,large,3.31,N,,N,63,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Podischnus oberthueri,Trichogomphus vicinus,Horn,McCullough et al 2015,25,0,32,0,12.56,44.23,0.283970156,small,1.78,N,,N,64,
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Spodistes mniszechi,Spodistes mniszechi,Horn,McCullough et al 2015,25,1,43,2.3,13.28,33.3,0.398798799,large,2,N,,N,65,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Trypoxylus dichotomus,Trypoxylus dichotomus,Horn,Siva-Jothy 1987,28,4,67,6,29.73,55,0.540545455,large,,N,,Y,66,Broken horns; more common among larger males
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Trypoxylus dichotomus,Trypoxylus dichotomus,Horn,McCullough 2014,29,44,1014,4.4,29.73,55,0.540545455,large,,N,,Y,67,"Severely damaged horns; injury status = ""3""; more common among larger males"
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Trypoxylus dichotomus,Trypoxylus dichotomus,Horn,McCullough et al 2015,25,1,53,1.9,29.73,55,0.540545455,large,1.73,N,,N,68,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Xyloryctes ensifer,Xyloryctes ensifer,Horn,McCullough et al 2015,25,1,30,3.3,13.32,34.69,0.383972326,large,0.97,N,,N,69,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Xyloryctes jamacensis,Xyloryctes orientalis,Horn,McCullough et al 2015,25,2,78,2.6,9.76,31.2,0.312820513,small,0.8,N,,N,70,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Xylotrupes gideon,Xylotrupes gideon,Horn,McCullough et al 2015,25,2,485,0.4,29.45,50.7,0.58086785,large,1.82,N,,N,71,Broken horns
Arthropoda,Insecta,Coleoptera,Scarabaeidae,Xylotrupes pubescens,Xylotrupes pubescens,Horn,McCullough et al 2015,25,0,39,0,12.85,46.09,0.278802343,small,2.39,N,,N,72,
Arthropoda,Insecta,Hymenoptera,Vespidae,Synagris cornuta,Synagris cornuta,Mandibular tusk,Longair 2004,30,0,106,0,17,29,0.586206897,large,1.753,N,,N,73,Allometric slope of tusked males; b = 1.753 ± 0.125
Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus pennsylvanicus,Gryllus pennsylvanicus,Mandible,Judge and Bonanno 2008,31,0,151,0,3.9,24,0.1625,small,1.37,N,,N,74,no damage; Allometric slope (major axis) of mandible length on pronotum length (body size) from Table S1: 1.37 (1.27-1.47)
Arthropoda,Insecta,Orthoptera,Gryllidae,Gryllus pennsylvanicus,Gryllus pennsylvanicus,Maxilla,Judge and Bonanno 2008,31,14,151,9.3,5.42,24,0.225833333,small,1.33,N,,N,75,blunted or snapped off; ; Allometric slope (major axis) of maxilla length on pronotum length (body size) from Table S1: 1.33 (1.24-1.43)
Arthropoda,Insecta,Phasmatodea,Lonchodidae,Eurycantha calcarata,Eurycantha calcarata,Hind leg,Boisseau et al 2020,32,5,72,6.9,32,118,0.271186441,small,0.9,N,,N,76,Punctured leg cuticle; author sent unpublished data 9/6/24
Arthropoda,Insecta,Phasmatodea,Lonchodidae,Eurycantha horrida,Eurycantha horrida,Hind leg,Boisseau et al 2020,32,3,8,37.5,39,136,0.286764706,small,0.71,N,,N,77,Punctured leg cuticle; author sent unpublished data 9/6/24
Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca beebei,Leptuca beebei,Claw,Dennenmoser and Christy 2013,33,20,121,16.5,22.86,12.96,1.763888889,large,,Y,,N,78,puncture wounds
Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca burgersi,Minuca burgersi,Claw,Jones 1980,34,34,130,26.2,16,20,0.8,large,,Y,,Y,79,34 of 130 showed signs of chela damage (should be 26.2% not 25.2% as reported in paper); larger animals more likely to be damaged
Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca lactea,Austruca lactea,Claw,Muramatsu & Koga 2016,35,5,139,3.6,19.11,12.85,1.487159533,large,,Y,,N,80,From 2011 raw data; Noted 5 cases of broken major claw
Arthropoda,Malacostraca,Decapoda,Ocypodidae,Uca terpsichores,Leptuca terpsichores,Claw,Dennenmoser and Christy 2013,33,36,94,38.3,18.32,11,1.665454545,large,,Y,,N,81,puncture wounds
Arthropoda,Malacostraca,Decapoda,Palaemonidae,Cryphiops caementarius,Cryphiops caementarius,Claw,Rojas et al 2012,36,10,119,8.4,38.2,57.5,0.664347826,large,1.071,Y,,Y,82,Broken dactylus/propodus in table 5; added total from groups 1 and 2; larger morph more likely to be damaged; Allometry from exponent in Figure 4c for group 1
